spcode,ali_len,phased_site,conflict_site,len,phased,span,fragments
Rhisa1,6393,483,0,4621,493,4620,4974
Rhivi1,6341,424,0,4420,433,4419,5521
Suiame1,6557,649,0,4881,664,4870,2768
Suibr2,6699,844,0,4717,848,4713,4516
Suigr1,6448,385,0,5423,434,5405,3161
